playlist_id,title,permalink,permalink_url,created_at,last_modified,description,track_count,tracks_id,duration,embeddable_by,genre,likes_count,user_id,license,reposts_count,sharing,tag_list,label_name,managed_by_feeds,public,purchase_title,purchase_url,release_date,secret_token,set_type,uri,artwork_url,is_album,published_at,display_date
786043602,Undrunk,undrunk,https://soundcloud.com/hokyqum5/sets/undrunk,2019-05-22T11:04:13Z,2019-05-22T11:04:13Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786043602,,FALSE,2019-05-22T11:04:13Z,2019-05-22T11:04:13Z
786043095,Fletcher,fletcher,https://soundcloud.com/hokyqum5/sets/fletcher,2019-05-22T11:03:26Z,2019-05-22T11:03:26Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786043095,,FALSE,2019-05-22T11:03:26Z,2019-05-22T11:03:26Z
786042561,Panic! At The Disco High Hopes,panic-at-the-disco-high-hopes,https://soundcloud.com/hokyqum5/sets/panic-at-the-disco-high-hopes,2019-05-22T11:02:32Z,2019-05-22T11:02:32Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786042561,,FALSE,2019-05-22T11:02:32Z,2019-05-22T11:02:32Z
786042396,Panic! At the Disco,panic-at-the-disco-6,https://soundcloud.com/hokyqum5/sets/panic-at-the-disco-6,2019-05-22T11:02:20Z,2019-05-22T11:02:20Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786042396,,FALSE,2019-05-22T11:02:20Z,2019-05-22T11:02:20Z
786041763,Mabel Don’t Call Me Up,mabel-dont-call-me-up,https://soundcloud.com/hokyqum5/sets/mabel-dont-call-me-up,2019-05-22T11:01:15Z,2019-05-22T11:01:15Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786041763,,FALSE,2019-05-22T11:01:15Z,2019-05-22T11:01:15Z
786041286,Don’t Call Me up,dont-call-me-up-2,https://soundcloud.com/hokyqum5/sets/dont-call-me-up-2,2019-05-22T11:00:28Z,2019-05-22T11:00:28Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786041286,,FALSE,2019-05-22T11:00:28Z,2019-05-22T11:00:28Z
786040959,Here With Me Marshmello & CHVRCHES,here-with-me-marshmello,https://soundcloud.com/hokyqum5/sets/here-with-me-marshmello,2019-05-22T10:59:56Z,2019-05-22T10:59:56Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786040959,,FALSE,2019-05-22T10:59:56Z,2019-05-22T10:59:56Z
786040878,Here With Me,here-with-me,https://soundcloud.com/hokyqum5/sets/here-with-me,2019-05-22T10:59:48Z,2019-05-22T10:59:48Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786040878,,FALSE,2019-05-22T10:59:48Z,2019-05-22T10:59:48Z
786040815,Post Malone & Swae Lee,post-malone-swae-lee,https://soundcloud.com/hokyqum5/sets/post-malone-swae-lee,2019-05-22T10:59:41Z,2019-05-22T10:59:41Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786040815,,FALSE,2019-05-22T10:59:41Z,2019-05-22T10:59:41Z
786040596,Sunflower,sunflower-2,https://soundcloud.com/hokyqum5/sets/sunflower-2,2019-05-22T10:59:19Z,2019-05-22T10:59:19Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786040596,,FALSE,2019-05-22T10:59:19Z,2019-05-22T10:59:19Z
786040497,Lil peep & iLoveMakonnen I’Ve Been waiting,lil-peep-ilovemakonnen-ive,https://soundcloud.com/hokyqum5/sets/lil-peep-ilovemakonnen-ive,2019-05-22T10:59:11Z,2019-05-22T10:59:11Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786040497,,FALSE,2019-05-22T10:59:11Z,2019-05-22T10:59:11Z
786040434,lil peep & iLoveMakonnen,lil-peep-ilovemakonnen,https://soundcloud.com/hokyqum5/sets/lil-peep-ilovemakonnen,2019-05-22T10:59:05Z,2019-05-22T10:59:05Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786040434,,FALSE,2019-05-22T10:59:05Z,2019-05-22T10:59:05Z
786040353,I’ve Been waiting,ive-been-waiting,https://soundcloud.com/hokyqum5/sets/ive-been-waiting,2019-05-22T10:59:00Z,2019-05-22T10:59:00Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786040353,,FALSE,2019-05-22T10:59:00Z,2019-05-22T10:59:00Z
786040200,Lil Was X Old Town Road,lil-was-x-old-town-road,https://soundcloud.com/hokyqum5/sets/lil-was-x-old-town-road,2019-05-22T10:58:46Z,2019-05-22T10:58:46Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786040200,,FALSE,2019-05-22T10:58:46Z,2019-05-22T10:58:46Z
786039846,Old Town Road,old-town-road-5,https://soundcloud.com/hokyqum5/sets/old-town-road-5,2019-05-22T10:58:08Z,2019-05-22T10:58:08Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786039846,,FALSE,2019-05-22T10:58:08Z,2019-05-22T10:58:08Z
